venue_id,venue,city
1,M Chinnaswamy Stadium,Bangalore
2,"Rajiv Gandhi International Stadium, Uppal",Hyderabad
3,Maharashtra Cricket Association Stadium,Pune
4,Saurashtra Cricket Association Stadium,Rajkot
5,Holkar Cricket Stadium,Indore
6,M.Chinnaswamy Stadium,Bengaluru
7,Wankhede Stadium,Mumbai
8,Eden Gardens,Kolkata
9,Feroz Shah Kotla,Delhi
10,"Punjab Cricket Association IS Bindra Stadium, Mohali",Chandigarh
11,Green Park,Kanpur
12,Punjab Cricket Association IS Bindra Stadium,Chandigarh
13,Rajiv Gandhi International Stadium,Hyderabad
14,MA Chidambaram Stadium,Chennai
15,Sawai Mansingh Stadium,Jaipur
16,Arun Jaitley Stadium,Delhi
17,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,Visakhapatnam
18,Sheikh Zayed Stadium,Abu Dhabi
19,Dubai International Cricket Stadium,
20,Sharjah Cricket Stadium,
21,"MA Chidambaram Stadium, Chepauk, Chennai",Chennai
22,"Wankhede Stadium, Mumbai",Mumbai
23,"Narendra Modi Stadium, Ahmedabad",Ahmedabad
24,"Arun Jaitley Stadium, Delhi",Delhi
25,"Zayed Cricket Stadium, Abu Dhabi",Abu Dhabi
26,Sharjah Cricket Stadium,Sharjah
27,Dubai International Cricket Stadium,Dubai
28,"Brabourne Stadium, Mumbai",Mumbai
29,"Dr DY Patil Sports Academy, Mumbai",Mumbai
30,"Maharashtra Cricket Association Stadium, Pune",Pune
31,"Dr DY Patil Sports Academy, Mumbai",Navi Mumbai
32,"Eden Gardens, Kolkata",Kolkata
33,"Punjab Cricket Association IS Bindra Stadium, Mohali, Chandigarh",Chandigarh
34,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",Lucknow
35,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",Hyderabad
36,"M Chinnaswamy Stadium, Bengaluru",Bengaluru
37,"Barsapara Cricket Stadium, Guwahati",Guwahati
38,"Sawai Mansingh Stadium, Jaipur",Jaipur
39,"Himachal Pradesh Cricket Association Stadium, Dharamsala",Dharamsala
40,"Maharaja Yadavindra Singh International Cricket Stadium, Mullanpur",Mohali
41,"Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium, Visakhapatnam",Visakhapatnam
42,"Punjab Cricket Association Stadium, Mohali",Chandigarh
43,"MA Chidambaram Stadium, Chepauk",Chennai
44,Dr DY Patil Sports Academy,Mumbai
45,Newlands,Cape Town
46,St George's Park,Port Elizabeth
47,Kingsmead,Durban
48,SuperSport Park,Centurion
49,Buffalo Park,East London
50,New Wanderers Stadium,Johannesburg
51,De Beers Diamond Oval,Kimberley
52,OUTsurance Oval,Bloemfontein
53,Brabourne Stadium,Mumbai
54,"Sardar Patel Stadium, Motera",Ahmedabad
55,Barabati Stadium,Cuttack
56,"Vidarbha Cricket Association Stadium, Jamtha",Nagpur
57,Himachal Pradesh Cricket Association Stadium,Dharamsala
58,Nehru Stadium,Kochi
59,Subrata Roy Sahara Stadium,Pune
60,Shaheed Veer Narayan Singh International Stadium,Raipur
61,JSCA International Stadium Complex,Ranchi
62,"Maharaja Yadavindra Singh International Cricket Stadium, Mullanpur",New Chandigarh
63,"Maharaja Yadavindra Singh International Cricket Stadium, New Chandigarh",New Chandigarh
